Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.83     0.00   280262     0.00     0.00  std::remove_reference<unsigned int&>::type&& std::move<unsigned int&>(unsigned int&)
  0.00      0.83     0.00   278400     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.83     0.00   276925     0.00     0.00  BigInteger::trim()
  0.00      0.83     0.00   275827     0.00     0.00  void std::__copy_move<true, false, std::random_access_iterator_tag>::__assign_one<unsigned int, unsigned int>(unsigned int*, unsigned int*)
  0.00      0.83     0.00   271003     0.00     0.00  void std::destroy_at<unsigned int>(unsigned int*)
  0.00      0.83     0.00   267281     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::pop_back()
  0.00      0.83     0.00   237556     0.00     0.00  BigInteger::BigInteger()
  0.00      0.83     0.00   227377     0.00     0.00  ABS(BigInteger const&)
  0.00      0.83     0.00   215382     0.00     0.00  operator==(BigInteger const&, unsigned int)
  0.00      0.83     0.00   192391     0.00     0.00  BigInteger::operator=(BigInteger const&)
  0.00      0.83     0.00   192391     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::capacity() const
  0.00      0.83     0.00   192391     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator=(std::vector<unsigned int, std::allocator<unsigned int> > const&)
  0.00      0.83     0.00   192391     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> > const* std::__addressof<std::vector<unsigned int, std::allocator<unsigned int> > const>(std::vector<unsigned int, std::allocator<unsigned int> > const&)
  0.00      0.83     0.00   141419     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::begin()
  0.00      0.83     0.00   141319     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::operator+(long) const
  0.00      0.83     0.00   141319     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      0.83     0.00   141319     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
  0.00      0.83     0.00   141319     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      0.83     0.00   141319     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > std::copy<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      0.83     0.00   141319     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      0.83     0.00   111561     0.00     0.00  void std::__copy_move<false, false, std::random_access_iterator_tag>::__assign_one<unsigned int, unsigned int const>(unsigned int*, unsigned int const*)
  0.00      0.83     0.00    92272     0.00     0.00  operator+(BigInteger, BigInteger const&)
  0.00      0.83     0.00    91008     0.00     0.00  operator>(BigInteger const&, BigInteger const&)
  0.00      0.83     0.00    88973     0.00     0.00  BigInteger::operator+=(BigInteger const&)
  0.00      0.83     0.00    82372     0.00     0.00  std::numeric_limits<long>::min()
  0.00      0.83     0.00    82369     0.00     0.00  BigInteger::BigInteger(long)
  0.00      0.83     0.00    82366     0.00     0.00  std::abs(long)
